Index,NoisyInput,SmoothedOutput
0,0.840188,0.682556
1,0.404383,0.719026
2,0.803098,0.765548
3,0.828436,0.647017
4,0.951637,0.645177
5,0.247531,0.652192
6,0.395187,0.558043
7,0.838172,0.496486
8,0.357689,0.562425
9,0.643849,0.631118
10,0.57723,0.560383
11,0.738649,0.617452
12,0.484497,0.707037
13,0.643035,0.804717
14,1.09177,0.815994
15,1.06563,0.89639
16,0.79503,0.831909
17,0.886479,0.772721
18,0.320632,0.602588
19,0.795828,0.533851
20,0.21497,0.427648
21,0.451347,0.569952
22,0.355461,0.489663
23,1.03215,0.576338
24,0.394382,0.563443
25,0.648348,0.567459
26,0.386871,0.616084
27,0.37554,0.63805
28,1.27528,0.670071
29,0.504209,0.821531
30,0.808453,0.931864
31,1.14417,0.800823
32,0.927206,0.894189
33,0.620075,0.905935
34,0.971039,0.846272
35,0.867185,0.927709
36,0.845857,0.936382
37,1.33439,0.972483
38,0.663437,0.982279
39,1.15155,1.04681
40,0.916163,0.941532
41,1.16852,1.07052
42,0.807989,0.982066
43,1.3084,0.956318
44,0.709254,0.972948
45,0.787424,1.08573
46,1.25167,0.930359
47,1.37191,1.0725
48,0.531534,1.1161
49,1.41995,0.980611
50,1.00542,0.844047
51,0.574233,0.971492
52,0.689094,0.968375
53,1.16876,0.941607
54,1.40437,0.945832
55,0.87158,0.919944
56,0.595358,0.887338
57,0.559655,0.730355
58,1.00573,0.716623
59,0.619457,0.906252
60,0.802922,1.09097
61,1.5435,1.17784
62,1.48324,1.22672
63,1.44006,1.29512
64,0.863861,1.18409
65,1.14495,1.16369
66,0.988324,1.10394
67,1.38123,1.19202
68,1.14133,1.19819
69,1.30426,1.13875
70,1.17582,1.08191
71,0.691114,1.17339
72,1.09702,1.23355
73,1.5987,1.27891
74,1.6051,1.33533
75,1.40259,1.40286
76,0.973215,1.35177
77,1.43467,1.24363
78,1.34326,1.24415
79,1.0644,1.22756
80,1.40522,1.17488
81,0.890261,1.22983
82,1.17125,1.33172
83,1.61801,1.267
84,1.57384,1.28631
85,1.08162,1.3836
86,0.986811,1.28421
87,1.6577,1.26219
88,1.1211,1.39383
89,1.46374,1.4721
90,1.7398,1.43114
91,1.37814,1.53898
92,1.45291,1.49565
93,1.6603,1.49517
94,1.24712,1.46307
95,1.73739,1.50042
96,1.21763,1.4713
97,1.63965,1.57128
98,1.51472,1.48859
99,1.747,1.4576
