Index,NoisyInput,SmoothedOutput
0,0.840188,0.622285
1,0.404383,0.682556
2,0.803098,0.678639
3,0.828436,0.861057
4,0.951637,0.675868
5,0.247531,0.531451
6,0.395187,0.49363
7,0.838172,0.53035
8,0.357689,0.613237
9,0.643849,0.526256
10,0.57723,0.653243
11,0.738649,0.600125
12,0.484497,0.62206
13,0.643035,0.739768
14,1.09177,0.93348
15,1.06563,0.984145
16,0.79503,0.915714
17,0.886479,0.667381
18,0.320632,0.667646
19,0.795828,0.44381
20,0.21497,0.487381
21,0.451347,0.340593
22,0.355461,0.612987
23,1.03215,0.593999
24,0.394382,0.691628
25,0.648348,0.476534
26,0.386871,0.470253
27,0.37554,0.67923
28,1.27528,0.718343
29,0.504209,0.862647
30,0.808453,0.818944
31,1.14417,0.959943
32,0.927206,0.897151
33,0.620075,0.83944
34,0.971039,0.819433
35,0.867185,0.894694
36,0.845857,1.01581
37,1.33439,0.947895
38,0.663437,1.04979
39,1.15155,0.910382
40,0.916163,1.07874
41,1.16852,0.964225
42,0.807989,1.09497
43,1.3084,0.941881
44,0.709254,0.935026
45,0.787424,0.916117
46,1.25167,1.137
47,1.37191,1.05171
48,0.531534,1.1078
49,1.41995,0.985636
50,1.00542,0.999869
51,0.574233,0.756249
52,0.689094,0.810696
53,1.16876,1.08741
54,1.40437,1.14824
55,0.87158,0.957102
56,0.595358,0.675531
57,0.559655,0.720246
58,1.00573,0.728279
59,0.619457,0.809368
60,0.802922,0.988627
61,1.5435,1.27656
62,1.48324,1.48894
63,1.44006,1.26239
64,0.863861,1.14962
65,1.14495,0.999044
66,0.988324,1.1715
67,1.38123,1.1703
68,1.14133,1.27561
69,1.30426,1.20714
70,1.17582,1.05707
71,0.691114,0.987987
72,1.09702,1.12895
73,1.5987,1.43361
74,1.6051,1.53546
75,1.40259,1.32697
76,0.973215,1.27016
77,1.43467,1.25038
78,1.34326,1.28078
79,1.0644,1.27096
80,1.40522,1.11996
81,0.890261,1.15558
82,1.17125,1.22651
83,1.61801,1.45437
84,1.57384,1.42449
85,1.08162,1.21409
86,0.986811,1.24204
87,1.6577,1.2552
88,1.1211,1.41418
89,1.46374,1.44155
90,1.7398,1.52723
91,1.37814,1.52361
92,1.45291,1.49712
93,1.6603,1.45344
94,1.24712,1.54827
95,1.73739,1.40071
96,1.21763,1.53156
97,1.63965,1.45733
98,1.51472,1.63379
99,1.747,1.52856
